seed,Train_R2,Train_RMSE,Test_R2,Test_MAE,Test_RMSE,full_mean,full_std,full_median,full_min,full_max,train_mean,train_std,train_median,train_min,train_max,test_mean,test_std,test_median,test_min,test_max,mean_diff,std_diff,median_diff,max_diff,stable_score
161,0.984602,5.247703,0.577472,19.885697,28.709047,58.140398,42.802205,52.0,2.7,179.0,58.0385,42.44117,52.5,4.2,179.0,58.536667,44.792786,49.5,2.7,162.0,0.396269,1.990581,2.5,17.0,0.562019
162,0.986309,5.173372,0.48276,18.344629,25.779225,58.140398,42.802205,52.0,2.7,179.0,57.146357,44.372088,51.0,2.7,179.0,62.006111,36.353068,55.5,7.1,142.0,3.865713,6.449137,3.5,37.0,0.433584
163,0.98495,5.428971,0.246677,22.756805,29.310927,58.140398,42.802205,52.0,2.7,179.0,60.942929,44.412467,56.5,4.2,179.0,47.241667,34.249648,36.0,2.7,125.0,10.898731,8.552557,16.0,54.0,0.118525
164,0.985648,5.071318,0.371686,25.612288,34.867914,58.140398,42.802205,52.0,2.7,179.0,57.814714,42.483464,51.0,2.7,162.0,59.406944,44.612306,53.5,5.0,179.0,1.266547,1.810101,1.5,0.0,0.355423
165,0.984908,5.363639,0.475601,20.697937,27.973799,58.140398,42.802205,52.0,2.7,179.0,57.990786,43.816881,51.0,2.7,179.0,58.722222,39.177606,56.0,5.0,144.0,0.581824,3.624599,4.0,35.0,0.449818
166,0.985698,5.163656,0.520155,22.132308,28.181091,58.140398,42.802205,52.0,2.7,179.0,57.998643,43.333154,53.0,4.2,179.0,58.691667,41.259571,50.0,2.7,150.0,0.551269,1.542634,2.0,29.0,0.506771
167,0.983487,5.192879,0.326159,28.922599,40.296517,58.140398,42.802205,52.0,2.7,179.0,55.3745,40.555216,51.0,2.7,179.0,68.896667,49.785843,73.0,4.5,162.0,10.756269,6.983638,21.0,17.0,0.188426
168,0.985527,5.227707,0.512891,19.880653,27.017211,58.140398,42.802205,52.0,2.7,179.0,59.9775,43.609562,53.5,4.2,179.0,50.996111,39.259473,49.75,2.7,162.0,7.144287,3.542732,2.25,17.0,0.459791
169,0.984106,5.352775,0.382599,27.557144,34.205191,58.140398,42.802205,52.0,2.7,179.0,58.265714,42.610251,51.0,4.2,179.0,57.653056,44.149496,53.5,2.7,144.0,0.487342,1.34729,1.5,35.0,0.371621
170,0.981422,5.865002,0.517835,20.199348,27.845957,58.140398,42.802205,52.0,2.7,179.0,60.400071,43.184109,55.3,2.7,179.0,49.352778,40.670674,38.5,4.2,150.0,8.78762,2.131531,13.5,29.0,0.427002
171,0.988478,4.692153,0.161852,23.350998,34.526285,58.140398,42.802205,52.0,2.7,179.0,59.8005,43.870099,53.5,2.7,179.0,51.684444,38.247822,48.0,4.2,126.0,6.455953,4.554383,4.0,53.0,0.103909
172,0.977867,6.34209,0.804649,14.234086,18.936846,58.140398,42.802205,52.0,2.7,179.0,58.531357,42.782329,52.0,2.7,179.0,56.62,43.452725,47.5,4.2,150.0,1.520398,0.65052,4.5,29.0,0.781595
173,0.984753,5.320227,0.516564,21.405846,28.537448,58.140398,42.802205,52.0,2.7,179.0,57.829357,43.240503,53.0,2.7,179.0,59.35,41.62582,50.0,5.7,162.0,1.209602,1.176386,2.0,17.0,0.500987
174,0.981468,6.016285,0.577903,17.367735,23.439204,58.140398,42.802205,52.0,2.7,179.0,58.811214,44.353054,51.0,2.7,179.0,55.531667,36.589287,58.45,4.2,144.0,2.608731,6.212918,6.45,35.0,0.526871
175,0.986012,5.216286,0.520546,19.509883,25.152891,58.140398,42.802205,52.0,2.7,179.0,59.202643,44.262831,52.0,2.7,179.0,54.009444,36.841039,53.1,5.0,126.0,4.130953,5.961166,1.1,53.0,0.478708
176,0.979273,5.804222,0.565489,22.725732,33.507644,58.140398,42.802205,52.0,2.7,179.0,57.941357,40.460939,53.5,2.7,162.0,58.914444,51.553784,50.6,4.5,179.0,0.774047,8.751579,1.4,0.0,0.531164
177,0.98369,5.294914,0.601793,21.352322,29.641205,58.140398,42.802205,52.0,2.7,179.0,59.008929,41.609568,55.3,2.7,179.0,54.762778,47.638586,35.0,4.2,162.0,3.37762,4.836381,17.0,17.0,0.519396
178,0.983988,5.497994,0.415029,23.027193,29.88956,58.140398,42.802205,52.0,2.7,179.0,56.7505,43.605697,50.0,4.2,179.0,63.545556,39.634153,68.5,2.7,126.0,5.405158,3.168052,16.5,53.0,0.328999
179,0.983853,5.53735,0.470325,20.49626,28.374932,58.140398,42.802205,52.0,2.7,179.0,57.957071,43.733988,50.0,2.7,179.0,58.853333,39.540956,58.0,4.2,150.0,0.712936,3.261249,6.0,29.0,0.438976
180,0.983426,5.502316,0.788792,14.524723,19.505687,58.140398,42.802205,52.0,2.7,179.0,58.304929,42.893187,54.0,2.7,179.0,57.500556,43.04508,47.5,5.0,150.0,0.639842,0.242874,4.5,29.0,0.771364
181,0.985298,5.140783,0.481009,24.279913,31.505645,58.140398,42.802205,52.0,2.7,179.0,57.768357,42.549829,51.0,2.7,179.0,59.587222,44.353281,57.65,5.6,150.0,1.446824,1.551076,5.65,29.0,0.452172
182,0.981187,5.854775,0.534473,22.91367,28.162451,58.140398,42.802205,52.0,2.7,179.0,55.667571,42.838676,50.0,2.7,179.0,67.756944,41.861539,57.3,4.2,150.0,9.616547,0.940666,5.3,29.0,0.467668
183,0.985058,5.353738,0.405999,21.009008,26.666471,58.140398,42.802205,52.0,2.7,179.0,61.755929,43.955584,57.295,2.7,179.0,44.08,35.09048,37.5,4.2,128.0,14.060398,7.711726,14.5,51.0,0.269062
184,0.984122,5.609277,0.406285,19.780463,26.281435,58.140398,42.802205,52.0,2.7,179.0,59.516786,44.675237,50.0,2.7,179.0,52.787778,34.59212,56.295,4.2,103.92,5.35262,8.210086,4.295,75.08,0.342006
185,0.981029,5.945779,0.389631,22.841351,31.380903,58.140398,42.802205,52.0,2.7,179.0,59.684071,43.323459,52.5,4.2,179.0,52.137222,40.736745,47.5,2.7,136.0,6.003176,2.065461,4.5,43.0,0.339918
186,0.986712,5.130628,0.19087,24.978299,31.05032,58.140398,42.802205,52.0,2.7,179.0,57.401714,44.66789,50.0,2.7,179.0,61.013056,35.008543,63.65,5.0,142.0,2.872658,7.793662,11.65,37.0,0.118175
187,0.985083,5.338973,0.449902,20.69656,28.295029,58.140398,42.802205,52.0,2.7,179.0,59.148286,43.869956,52.5,4.2,179.0,54.220833,38.690753,50.0,2.7,150.0,3.919564,4.111453,2.0,29.0,0.411969
188,0.983153,5.46282,0.664716,18.879494,25.915972,58.140398,42.802205,52.0,2.7,179.0,57.286929,42.238752,51.0,2.7,179.0,61.459444,45.39191,64.65,4.5,150.0,3.319047,2.589705,12.65,29.0,0.602402
189,0.981368,5.713262,0.641068,20.486168,27.30298,58.140398,42.802205,52.0,2.7,179.0,59.055,42.005938,55.8,2.7,179.0,54.583611,46.219093,41.0,4.2,162.0,3.556787,3.416888,11.0,17.0,0.580034
190,0.982103,5.669022,0.563579,20.398669,28.940423,58.140398,42.802205,52.0,2.7,179.0,58.562286,42.527575,54.5,2.7,162.0,56.499722,44.429256,46.1,5.7,179.0,1.640676,1.627051,5.9,0.0,0.532794
191,0.985643,5.217774,0.649484,16.182564,22.965244,58.140398,42.802205,52.0,2.7,179.0,56.959929,43.703054,50.0,2.7,179.0,62.731111,39.339997,54.0,4.5,162.0,4.590713,3.462208,2.0,17.0,0.610144
192,0.983761,5.267767,0.516318,24.001106,32.914811,58.140398,42.802205,52.0,2.7,179.0,57.106286,41.486572,53.5,2.7,179.0,62.161944,47.998586,48.1,5.0,142.0,4.021547,5.196381,3.9,37.0,0.468921
193,0.982079,5.456204,0.59862,22.456403,31.003528,58.140398,42.802205,52.0,2.7,179.0,56.509714,40.904582,50.0,2.7,162.0,64.481944,49.630727,66.0,4.2,179.0,6.341547,6.828522,14.0,0.0,0.504427
194,0.981693,5.84307,0.509592,21.118631,27.43255,58.140398,42.802205,52.0,2.7,179.0,60.637214,43.340306,55.3,2.7,179.0,48.430556,39.728735,31.0,4.2,136.0,9.709842,3.07347,21.0,43.0,0.388823
195,0.982586,5.529326,0.273058,26.14846,37.510056,58.140398,42.802205,52.0,2.7,179.0,55.400786,42.050807,49.75,2.7,162.0,68.794444,44.618503,68.0,5.0,179.0,10.654047,1.816297,16.0,0.0,0.166339
196,0.983425,5.509992,0.557454,22.258086,28.081518,58.140398,42.802205,52.0,2.7,179.0,57.939929,42.951305,50.0,2.7,179.0,58.92,42.811315,58.5,4.2,158.0,0.779602,0.00911,6.5,21.0,0.534029
197,0.981709,5.900796,0.477847,22.318807,27.199176,58.140398,42.802205,52.0,2.7,179.0,60.266429,43.787086,54.5,2.7,179.0,49.8725,38.174564,47.5,4.2,126.0,8.267898,4.627641,4.5,53.0,0.409125
198,0.982409,5.600875,0.851236,13.243327,17.121159,58.140398,42.802205,52.0,2.7,179.0,58.014429,42.380365,53.5,2.7,179.0,58.630278,45.019654,50.0,4.2,150.0,0.48988,2.217449,2.0,29.0,0.836135
199,0.985835,5.119882,0.412887,21.223293,30.961035,58.140398,42.802205,52.0,2.7,179.0,60.144714,43.17255,55.3,2.7,162.0,50.345833,40.980004,44.5,4.5,179.0,7.794564,1.822202,7.5,0.0,0.345948
200,0.981386,5.966352,0.57646,19.21004,24.332498,58.140398,42.802205,52.0,2.7,179.0,60.071071,43.887452,52.5,2.7,179.0,50.632222,37.918974,50.6,4.2,124.3,7.508176,4.883231,1.4,54.7,0.520069
201,0.982865,5.640822,0.403336,23.637576,31.609612,58.140398,42.802205,52.0,2.7,179.0,58.846143,43.247565,50.0,2.7,162.0,55.395833,41.502225,54.5,4.2,179.0,2.744564,1.29998,2.5,0.0,0.378213
202,0.984632,5.389636,0.304273,24.415258,31.251169,58.140398,42.802205,52.0,2.7,179.0,55.322,43.632935,49.1,2.7,179.0,69.100833,37.998289,68.0,5.7,162.0,10.960436,4.803916,16.0,17.0,0.187059
203,0.980279,6.000959,0.586451,17.253237,26.814107,58.140398,42.802205,52.0,2.7,179.0,60.000214,42.885828,54.5,2.7,179.0,50.907778,42.287991,45.6,4.2,158.0,7.23262,0.514214,6.4,21.0,0.529545
204,0.981699,5.672489,0.461943,22.64823,30.969508,58.140398,42.802205,52.0,2.7,179.0,54.263429,42.081255,49.35,2.7,162.0,73.2175,42.81908,70.0,5.0,179.0,15.077102,0.016875,18.0,0.0,0.332507
205,0.98247,5.424094,0.57865,23.513654,31.456102,58.140398,42.802205,52.0,2.7,179.0,56.869643,41.11384,52.0,2.7,179.0,63.082222,49.147427,56.0,4.5,162.0,4.941824,6.345222,4.0,17.0,0.522906
206,0.984381,5.554207,0.554915,17.042604,23.285046,58.140398,42.802205,52.0,2.7,179.0,58.716857,44.602411,54.5,2.7,179.0,55.898611,35.39752,49.35,4.2,150.0,2.241787,7.404685,2.65,29.0,0.513542
207,0.984727,5.271075,0.579541,21.658177,27.591876,58.140398,42.802205,52.0,2.7,179.0,59.175286,42.805232,55.3,4.2,179.0,54.115833,43.155526,46.1,2.7,144.0,4.024564,0.35332,5.9,35.0,0.540658
208,0.982451,5.656219,0.671103,17.903752,24.334385,58.140398,42.802205,52.0,2.7,179.0,59.051071,42.850021,53.5,2.7,179.0,54.598889,43.033583,51.0,4.5,150.0,3.541509,0.231378,1.0,29.0,0.649701
209,0.988866,4.510253,0.306097,27.012614,34.796987,58.140398,42.802205,52.0,2.7,179.0,56.434214,42.898089,50.0,4.2,179.0,64.775556,42.365208,65.5,2.7,150.0,6.635158,0.436997,13.5,29.0,0.23111
210,0.982769,5.513205,0.592189,22.151016,28.878157,58.140398,42.802205,52.0,2.7,179.0,57.937071,42.150728,51.0,2.7,179.0,58.931111,45.862429,61.5,4.5,150.0,0.790713,3.060224,9.5,29.0,0.550554
211,0.986369,5.119996,0.413261,23.50314,28.778144,58.140398,42.802205,52.0,2.7,179.0,57.236,44.010404,50.0,2.7,179.0,61.6575,38.102843,66.0,5.7,144.0,3.517102,4.699362,14.0,35.0,0.339577
212,0.987031,4.98609,0.42351,22.332333,28.766685,58.140398,42.802205,52.0,2.7,179.0,57.234357,43.939706,50.0,2.7,179.0,61.663889,38.42476,67.0,4.2,144.0,3.523491,4.377445,15.0,35.0,0.34776
213,0.985203,5.371371,0.393333,20.336863,28.141737,58.140398,42.802205,52.0,2.7,179.0,57.175857,44.315176,50.0,2.7,179.0,61.891389,36.643157,57.295,5.6,144.0,3.750991,6.159048,5.295,35.0,0.340216
214,0.984966,5.286314,0.496633,18.21617,29.010767,58.140398,42.802205,52.0,2.7,179.0,58.6445,43.269233,52.5,2.7,179.0,56.18,41.469994,50.6,5.0,162.0,1.960398,1.332211,1.4,17.0,0.478634
215,0.984377,5.437737,0.404279,23.010314,30.050463,58.140398,42.802205,52.0,2.7,179.0,59.381071,43.661587,51.5,4.2,179.0,53.315556,39.48636,52.0,2.7,158.0,4.824842,3.315846,0.0,21.0,0.370208
216,0.984526,5.185334,0.291721,27.153825,38.724082,58.140398,42.802205,52.0,2.7,179.0,56.856429,41.833706,53.0,2.7,162.0,63.133611,46.66552,49.6,4.2,179.0,4.993213,3.863315,2.4,0.0,0.247965
217,0.982825,5.71384,0.455304,22.101156,28.700609,58.140398,42.802205,52.0,2.7,179.0,58.360571,43.75622,52.0,2.7,179.0,57.284167,39.439469,52.5,4.5,128.0,0.856231,3.362736,0.5,51.0,0.439434
218,0.986404,5.088236,0.378976,22.77063,30.263931,58.140398,42.802205,52.0,2.7,179.0,56.986357,43.794775,50.0,4.2,179.0,62.628333,38.948297,68.0,2.7,158.0,4.487936,3.853909,16.0,21.0,0.296975
219,0.980389,6.133467,0.635837,17.245934,22.903691,58.140398,42.802205,52.0,2.7,179.0,58.672929,43.954906,51.0,2.7,179.0,56.069444,38.492388,52.5,4.2,150.0,2.070953,4.309818,0.5,29.0,0.611053
220,0.985655,5.235323,0.486131,21.499116,27.526996,58.140398,42.802205,52.0,2.7,179.0,58.359714,43.867654,52.5,2.7,179.0,57.2875,38.944847,50.0,5.0,150.0,0.852898,3.857359,2.0,29.0,0.464295
221,0.984891,5.31757,0.439151,23.557035,28.776346,58.140398,42.802205,52.0,2.7,179.0,60.958,43.416862,54.5,2.7,179.0,47.183056,38.969948,32.5,4.2,142.0,10.957342,3.832258,19.5,37.0,0.314367
222,0.984194,5.238678,0.429589,27.181149,34.930575,58.140398,42.802205,52.0,2.7,179.0,59.012214,41.818261,54.5,2.7,162.0,54.75,46.906049,36.5,4.5,179.0,3.390398,4.103844,15.5,0.0,0.353825
223,0.986571,4.959705,0.41551,22.963403,32.261554,58.140398,42.802205,52.0,2.7,179.0,57.864071,42.952808,52.5,2.7,179.0,59.215,42.797064,51.0,5.0,144.0,1.074602,0.005142,1.0,35.0,0.407122
224,0.986435,5.034004,0.43855,21.720507,30.189614,58.140398,42.802205,52.0,2.7,179.0,59.090786,43.377824,56.795,2.7,162.0,54.444444,40.861952,47.5,4.5,179.0,3.695953,1.940253,4.5,0.0,0.400749
225,0.983914,5.532847,0.477419,19.523388,27.41641,58.140398,42.802205,52.0,2.7,179.0,60.011429,43.780681,54.5,2.7,179.0,50.864167,38.463705,44.1,4.5,150.0,7.276231,4.3385,7.9,29.0,0.404323
226,0.986888,4.580486,0.018254,34.088872,46.423857,58.140398,42.802205,52.0,2.7,179.0,53.076143,40.145637,49.1,2.7,150.0,77.834722,47.518079,77.93,5.0,179.0,19.694324,4.715873,25.93,0.0,-0.172155
227,0.983699,5.443948,0.550373,20.9501,28.239508,58.140398,42.802205,52.0,2.7,179.0,56.335643,42.791547,50.0,2.7,179.0,65.158889,42.711828,62.795,5.0,158.0,7.018491,0.090378,10.795,21.0,0.482624
228,0.984372,5.11132,0.484037,26.967308,35.198433,58.140398,42.802205,52.0,2.7,179.0,57.711643,41.033069,52.0,4.2,158.0,59.807778,49.697123,51.0,2.7,179.0,1.66738,6.894918,1.0,0.0,0.452015
229,0.985849,5.155189,0.452132,22.424643,29.579356,58.140398,42.802205,52.0,2.7,179.0,57.626643,43.492567,51.0,2.7,179.0,60.138333,40.52918,54.0,5.0,144.0,1.997936,2.273025,2.0,35.0,0.429323
230,0.982008,5.705147,0.481347,21.919181,31.141174,58.140398,42.802205,52.0,2.7,179.0,58.310571,42.686131,52.5,2.7,179.0,57.478611,43.854471,50.0,4.5,158.0,0.661787,1.052266,2.0,21.0,0.468882
231,0.985315,5.237377,0.4253,21.514081,30.080147,58.140398,42.802205,52.0,2.7,179.0,60.023714,43.373773,53.0,2.7,162.0,50.816389,40.241732,48.0,5.0,179.0,7.324009,2.560474,4.0,0.0,0.368999
232,0.986107,5.093859,0.311272,26.058026,33.631081,58.140398,42.802205,52.0,2.7,179.0,58.249714,43.371954,52.5,4.2,179.0,57.715278,41.099283,48.0,2.7,142.0,0.42512,1.702923,4.0,37.0,0.292038
233,0.980974,5.793511,0.634008,21.066371,27.335581,58.140398,42.802205,52.0,2.7,179.0,58.571714,42.152314,54.5,2.7,179.0,56.463056,45.825776,46.1,4.2,158.0,1.677342,3.023571,5.9,21.0,0.598851
234,0.98667,4.938993,0.475355,20.121814,26.685269,58.140398,42.802205,52.0,2.7,179.0,62.9065,42.931632,56.5,4.2,179.0,39.605556,37.36423,25.95,2.7,136.0,18.534842,5.437975,26.05,43.0,0.288217
235,0.986779,5.106113,0.465438,19.436485,25.156385,58.140398,42.802205,52.0,2.7,179.0,59.807143,44.567053,53.8,2.7,179.0,51.658611,34.895245,49.35,4.5,126.0,6.481787,7.906961,2.65,53.0,0.401358
236,0.98375,5.479791,0.646963,18.323088,24.635705,58.140398,42.802205,52.0,2.7,179.0,58.289714,43.14114,52.0,2.7,179.0,57.559722,42.050587,52.0,5.0,150.0,0.580676,0.751619,0.0,29.0,0.641805
237,0.984199,5.389768,0.555206,17.996812,27.340601,58.140398,42.802205,52.0,2.7,179.0,60.131786,43.031706,54.5,2.7,179.0,50.396111,41.576309,48.0,4.2,162.0,7.744287,1.225896,4.0,17.0,0.500807
238,0.977341,6.281975,0.720912,16.524947,24.310914,58.140398,42.802205,52.0,2.7,179.0,57.253786,41.882862,53.5,2.7,179.0,61.588333,46.671129,49.75,5.0,150.0,3.447936,3.868924,2.25,29.0,0.685316
239,0.982666,5.751126,0.576848,18.223927,24.689649,58.140398,42.802205,52.0,2.7,179.0,59.669357,43.839519,55.3,2.7,179.0,52.194444,38.493198,47.6,5.0,144.0,5.945953,4.309008,4.4,35.0,0.520991
240,0.984402,5.212515,0.184416,26.897027,38.177453,58.140398,42.802205,52.0,2.7,179.0,53.884214,41.88638,49.35,2.7,179.0,74.692222,42.873599,78.0,5.6,150.0,16.551824,0.071394,26.0,29.0,0.023443
241,0.985451,5.120092,0.649421,18.767133,25.732851,58.140398,42.802205,52.0,2.7,179.0,57.436,42.601387,50.0,2.7,179.0,60.879722,44.076997,59.0,4.2,158.0,2.739324,1.274792,7.0,21.0,0.6109
242,0.984279,5.309963,0.751973,15.725186,21.883653,58.140398,42.802205,52.0,2.7,179.0,58.1185,42.502254,52.5,2.7,179.0,58.225556,44.564343,48.5,4.2,150.0,0.085158,1.762138,3.5,29.0,0.735761
243,0.98169,5.719981,0.679859,16.807531,24.583782,58.140398,42.802205,52.0,2.7,179.0,60.0415,42.423909,55.3,2.7,179.0,50.747222,44.065143,35.0,4.5,150.0,7.393176,1.262938,17.0,29.0,0.588104
244,0.984819,4.992776,0.257876,34.394148,42.513511,58.140398,42.802205,52.0,2.7,179.0,56.034214,40.668247,51.0,2.7,162.0,66.331111,50.05022,58.45,5.0,179.0,8.190713,7.248015,6.45,0.0,0.175828
245,0.984921,5.361889,0.481169,21.148639,27.570052,58.140398,42.802205,52.0,2.7,179.0,59.314214,43.821135,53.5,2.7,179.0,53.575556,38.818775,48.1,5.8,150.0,4.564842,3.98343,3.9,29.0,0.434694
246,0.981943,5.694105,0.516606,23.028446,29.58914,58.140398,42.802205,52.0,2.7,179.0,60.563214,42.526726,54.5,2.7,179.0,48.718333,43.161724,32.9,4.2,144.0,9.422064,0.359518,19.1,35.0,0.411117
247,0.984866,5.374391,0.197741,25.254444,34.373911,58.140398,42.802205,52.0,2.7,179.0,58.892071,43.843868,52.5,4.2,179.0,55.217222,38.921437,50.0,2.7,142.0,2.923176,3.880769,2.0,37.0,0.165483
248,0.986159,5.05129,0.568966,18.894461,27.230073,58.140398,42.802205,52.0,2.7,179.0,57.217071,43.090439,51.0,2.7,179.0,61.731111,42.063992,59.0,5.7,144.0,3.590713,0.738213,7.0,35.0,0.527798
249,0.985498,5.066478,0.599626,20.102268,28.422702,58.140398,42.802205,52.0,2.7,179.0,58.628286,42.22273,52.0,2.7,179.0,56.243056,45.556441,53.65,4.2,158.0,1.897342,2.754236,1.65,21.0,0.576927
250,0.981634,5.819338,0.467222,22.104524,29.752509,58.140398,42.802205,52.0,2.7,179.0,60.107929,43.094457,56.5,2.7,179.0,50.488889,41.339727,37.0,4.2,128.0,7.651509,1.462478,15.0,51.0,0.379577
251,0.983671,5.562166,0.601623,17.650523,24.645992,58.140398,42.802205,52.0,2.7,179.0,58.968214,43.683381,50.0,2.7,179.0,54.921111,39.601928,52.5,5.8,158.0,3.219287,3.200277,0.5,21.0,0.574426
